,title,ISBN,keywords
151,十宗罪 . 5 :中国十大变态凶杀案,978-7-5404-7168-2,衣柜 奇案 控梦 蚊香 烧尸 浮尸 视频 杀人 惊悚 警察
152,人心至上,978-7-5168-1202-0,杜月笙 为人处世 雾满拦江 方法 生意 孤身 大事 做事 做人 政界
153,淘气包埃米尔,978-7-5007-9413-4,淘气 领班 淘气包埃米尔 伊达 猪血 林格伦 篮子 旗杆 爸爸 咖啡
154,孔雀屎咖啡,978-7-5342-9049-7,孔雀屎咖啡 咖啡店 老板 马小跳 揭露 淘气包马小跳 逃离 小伙伴 杨红樱 勇敢
155,阿比琳的夏天 = Moon over manifest,978-7-5414-5415-8,占卜 响尾蛇 阿比琳的夏天 间谍 爸爸 纽伯瑞 故事 香烟盒 放假 打探
156,大雪中的山庄,978-7-5302-1683-5,演员 大雪 失踪 东野圭吾 民宿 女演员 排练 剧本 舞台剧 外界
157,撒野 = Run freely,978-7-5596-2018-7,撒野 钢厂 救赎 父亲 学校 里脊肉 巫哲 右肩 粗鄙 寄养
158,没头脑和不高兴 : 荣誉珍藏版,978-7-5342-9359-7,没头脑 没头脑和不高兴 小妖精 设计 固执 看场 回放 馈赠 看戏 搭挡
159,我的晃荡的青春,978-7-5442-7886-7,晃荡 小学 东野圭吾 青春 读书 快乐 大师 学校 录取线 完过
160,牧羊少年奇幻之旅,978-7-5442-4419-0,牧羊少年奇幻之旅 保罗柯艾略 与心沟通 跨海 巴西 牧羊 炼金术士 悟出 羊群 卖掉
161,知否知否应是绿肥红瘦,978-7-5113-7333-5,姨娘 嬷嬷 女儿 装病 知否 关心则乱 乖张 丫头 规矩 女孩儿
162,给孩子讲量子力学,978-7-5139-1003-3,量子力学 物理 物理学家 李淼 顶尖 量子 科学 孩子 实验 世界
163,蔡康永的说话之道,978-7-5404-6778-4,蔡康永的说话之道 蔡康永 搞清楚 懂得 变得 透过 研究 有趣 话题 谈话
164,激荡十年，水大鱼大 : 中国企业2008-2018,978-7-5086-8262-4,企业史 激荡 大鱼 公司 吴晓波 改革开放 记录 变化 时代 全球
165,十宗罪 . 4 :中国十大凶杀案,978-7-5404-6351-9,琥珀 奸杀 闹鬼 人体 凶杀案 十宗罪 连环 变态 警察 电话
166,斑羚飞渡,978-7-5342-5003-3,斑羚 飞渡 动物 档案 动物小说 理由 追求 奶羊 老马 罪马
167,查理九世 . [24] :末日浮空城 = The air city of doomsday,978-7-5342-8621-6,浮空 冒险 协会 小队 接受考验 影迷 小伙伴 重重 登上 爷爷
168,断舍离,978-7-5404-8930-4,断舍离 杂物 物品 整理 人生 自在 收纳 扔掉 家居 观念
169,小狗钱钱,978-7-5442-4388-9,理财 投资 金钱 小狗钱钱 挣钱 支配 太太 俱乐部 梦想 取名
170,忠诚的流浪狗,978-7-5342-8061-0,金子 狗狗 马小跳 流浪狗 最酷 撞伤 男子汉 冤屈 摩托车 小伙伴
171,我们仨,978-7-108-05171-4,我们仨 杨绛 驿道 逝世 回忆录 钱钟书 家庭 附录 相失 失散
172,魔法手指,978-7-5332-5957-0,手指 变大 魔法 收录 魔法指头 为任 溶溶 罗尔德达尔 差异 很大
173,巨人的陨落 . Ⅰ = Fall of giants,978-7-5399-8989-1,巨人 失色 闪闪发光 煤矿 灰尘 矿工 法律系 英国小说 皇室 特工
174,兔子坡 = Rabbit hill,978-7-5414-5199-7,兔子 居民 搬来 动物 猜测 唱首歌 要来 蕴含着 书呆子 卡车
175,虚无的十字架,978-7-5404-7184-2,夜子 死刑 犯人 宣判 凶手 感到 处置 富士 终使 庆幸
176,蓝色的海豚岛 = Island of the blue dolphins,978-7-5307-4995-1,海豚 海獭 蓝色的海豚岛 野狗 离开 海象 国际大奖小说 捕猎 武器 勇捕
177,无人生还 = And then there were none,978-7-5133-2233-1,客人 无人生还 推理小说 死亡 船主 拖网渔船 珍号 各异 侦探推理 到齐
178,穷查理宝典 : 查理·芒格智慧箴言录 = Poor Charlie's almanack : the wit and wisdom of Charlie T. Munger,978-7-5086-6332-6,芒格 查理 巴菲特 演讲 毕业典礼 投资 谈话 传记 金融 商业
179,上海寻宝记,978-7-5391-7981-0,上海寻宝记 宝物 坏蛋 疯狂阅读 替罪羊 一年级暑假年月 偷窃 逛逛 甲板 夺回
180,再被狐狸骗一次,978-7-5342-5000-2,再被狐狸骗一次 动物 动物小说 档案 拯球 雌虎 情豹 平豹 火圈 变色
181,刺杀骑士团长 . 第1部 :显形理念篇,978-7-5327-7658-0,骑士团 真理 免色 邻居 绘画 画家 刺杀 房子 隐喻 奇妙
182,朝花夕拾 : 鲁迅专集 : 经典彩绘本,978-7-5477-0063-1,专集 彩绘 鲁迅 经典 记念 朝花夕拾 拿来主义 投枪 自语 杂文
183,超有料漫画中国史,978-7-5404-8947-2,中国历史 漫画 中国史 登场 炸天 咖酷炫 争抢 妖斗 武将 虎爸
184,乖，摸摸头,978-7-5404-6879-8,摸摸头 唱歌 不许 真实的故事 老兵 眼泪 故事 风尘 有的是 姑娘
185,皮皮鲁和309暗室,978-7-5342-9116-6,皮皮鲁 暗室 觅工 上帝 善良 勇敢 地球 变得 遗愿 健康成长
186,学生街的日子,978-7-5442-9372-3,东野圭吾 光平 学生 报警 日本推理 青春 落网 大喊 满员 耳熟
187,球球老老鼠,978-7-5332-6331-7,老鼠 球球 球球老老鼠 公园 笑猫日记 洞口 三宝 长生不老 乐园 走出
188,查理九世 . [9] :羽蛇神的黄金眼 = The golden eeye of quetzalcoatl,978-7-5342-6674-4,羽蛇 生灵 地球 死亡 地图 查理九世 侦探 奇怪 冒险 真相
189,三体 . Ⅱ :黑暗森林 : 典藏版,978-7-229-10061-2,三体 舰队 太阳系 纪年 光年 黑暗森林 危机 面壁 刘慈欣 宇宙
190,阁楼里的秘密 = The Callender Papers,978-7-5414-5417-2,文件 阁楼 家族 阁楼里的秘密 村庄 遗产 整理 庞大 婴儿 失踪
191,导盲犬迪克,978-7-5342-8099-3,迪克 主人 导盲犬 卖艺 桥洞 遗弃 被迫 出生 动物小说 穿越
192,1Q84 . BOOK 3 : 10月-12月,978-7-5442-4986-7,青豆 天吾 不夠 沒錯 空气 村上春树 眼睛 關閉 不錯 意識
193,湖畔,978-7-122-25015-5,丈夫 尸体 解说 东野圭吾 家庭 听说 妻子 亲情 推理悬疑 隐瞒
194,世界冠军丹尼,978-7-5332-5963-1,偷猎 父亲 父子俩 世界冠军 小男孩 乡间 故事 野鸡 其乐融融 胆略过人
195,就喜欢你看不惯我又干不掉我的样子 . 4,978-7-02-015127-1,巴扎黑 吾皇 爆笑 漫画 白茶 看不惯 脑洞 一家人 样子 神奇
196,揭秘物理,978-7-5417-4076-3,物理 看里面系列 飞行 发明 揭秘 起重机械 铲土机 供排水 马桶 简单机械
197,非暴力沟通 = Nonviolent communication,978-7-5080-8615-6,非暴力沟通 表达 感受 倾听 暴力 谈话 伤害 体会 隔阂 方式
