,title,ISBN,weight
20,揭秘机场,978-7-5417-4307-8,"[('飞机', 0.6482063428900571), ('机场', 0.30568474852288274), ('揭秘', 0.2504618861497451), ('驾驶舱', 0.19250492639910327), ('零距离', 0.19250492639910327), ('宝宝书', 0.19250492639910327), ('科普绘本', 0.1809043735573883), ('低幼', 0.1809043735573883), ('坐飞机', 0.1809043735573883), ('起飞', 0.16628940540624823), ('亲子阅读', 0.16107309748855736), ('行李', 0.16107309748855736), ('检查', 0.14373125899749525), ('层层', 0.13683149591658753), ('翻翻书', 0.1330110981926104), ('接触', 0.12964126857801142), ('地面', 0.12809437922845188), ('科普', 0.10608910961123433), ('绘本', 0.10098934150290273), ('童书', 0.09334854605494851)]"
21,哈利·波特与火焰杯 : 纪念版,978-7-02-010332-4,"[('法学', 0.34113312747541896), ('三强', 0.20852429463762157), ('世界杯赛', 0.20852429463762157), ('赛事', 0.20852429463762157), ('火焰杯', 0.20852429463762157), ('搞清楚', 0.20081454756834013), ('争霸赛', 0.20081454756834013), ('生命危险', 0.19451522554052272), ('普普通通', 0.1891892246544274), ('暗恋', 0.18457563283480835), ('举办', 0.17686588576552695), ('恶毒', 0.17357286037854464), ('出身', 0.17056656373770948), ('注定', 0.16780103891178952), ('逃离', 0.15853235302657762), ('纪念版', 0.1512314937545153), ('罗琳', 0.14962419857573142), ('魔幻', 0.14808836281356635), ('不幸', 0.14661790193489627), ('魔法', 0.14385237710897628)]"
22,揭秘海洋,978-7-5417-6335-9,"[('揭秘', 0.523383896884811), ('动物', 0.35373142694653187), ('审订', 0.2482077023777049), ('审图', 0.22987011282495215), ('船舶', 0.17240258461871413), ('博士', 0.16103341823106254), ('科普知识', 0.15464219108226263), ('小朋友', 0.15295748506945017), ('清华', 0.14030324994292845), ('介绍', 0.1400068907271272), ('研究所', 0.13688179754581112), ('珊瑚礁', 0.11493505641247607), ('极地', 0.11493505641247607), ('海岸边', 0.10800894693455973), ('培养', 0.1066813189666126), ('生活', 0.10462954762724279), ('海域', 0.10309479405484175), ('防御', 0.09928308095108196), ('攻击', 0.09616868457692539), ('习性', 0.09353549996195229)]"
23,好好说话 : 新鲜有趣的话术精进技巧,978-7-5086-7150-5,"[('好好说话', 0.527160398575321), ('技巧', 0.22523120434357669), ('尴尬', 0.17966718993873088), ('表达', 0.16194126087040428), ('说话技巧', 0.1610840619483832), ('有趣', 0.16024087033490422), ('套路', 0.1480703443210144), ('有料', 0.14692596921151807), ('创始人', 0.12309402027260866), ('精进', 0.099641734040613), ('奇葩说', 0.099641734040613), ('奇袭', 0.09795064614101205), ('传输', 0.09795064614101205), ('方式', 0.09534106189779078), ('场景', 0.090916596294643), ('谈判', 0.08786006642922017), ('马东', 0.08461162532629393), ('沟通', 0.0845986337570455), ('智力', 0.07605484494534828), ('议长', 0.07346298460575904)]"
24,人类简史 : 从动物到上帝 = Sapiens:a brief history of humankind,978-7-5086-6075-2,"[('丛书', 0.46571204565239993), ('见识', 0.4207857231441211), ('人类简史', 0.28125625595185355), ('历史', 0.2629794252821679), ('革命', 0.19636667080058984), ('人类', 0.17752272653253565), ('时间尺度', 0.11839865393714924), ('发展', 0.11515346103200334), ('科学', 0.11201163169906551), ('地球', 0.10693481778947496), ('审视', 0.09970472987791103), ('农业', 0.09906675265335568), ('中心论', 0.09866554494762438), ('动物', 0.09615879274046067), ('认知革命', 0.08850131852008138), ('历史学', 0.08832469831338619), ('智人', 0.08522916847025865), ('平装', 0.08344786827480548), ('科技', 0.08344084131292247), ('世纪', 0.07767746271023138)]"
25,见识,978-7-5086-8460-4,"[('鲁迅', 0.37355793317386604), ('缺乏', 0.2696116986228551), ('见识', 0.24620222087646504), ('吴军', 0.18792321720522592), ('退学', 0.166225621947136), ('取决于', 0.15278374866647035), ('本质', 0.14423578441061446), ('挣钱', 0.1329804975577088), ('贫穷', 0.12222699893317628), ('狮子林', 0.1154586524874647), ('创业', 0.11295011634966452), ('气度', 0.1085009905498309), ('更好', 0.10675461372817975), ('选择', 0.10474882958837642), ('看待', 0.1012626265075988), ('薪水', 0.09660678890603963), ('投机', 0.09396160860261296), ('硅谷', 0.09396160860261296), ('商业', 0.09050912788306627), ('效率', 0.08784117152449036)]"
26,揭秘地下,978-7-5417-3826-5,"[('翻翻书', 0.2821196505721228), ('揭秘', 0.2656177595792774), ('孩子', 0.22837940214527525), ('中文绘本', 0.20415372591873113), ('英文科学绘本', 0.20415372591873113), ('童书', 0.19799444972856323), ('成因', 0.1918512039539516), ('科普知识', 0.18312242570784124), ('管道', 0.18312242570784124), ('英国', 0.18006464567764088), ('超大', 0.17635185929794525), ('恐龙', 0.1708199037430617), ('旺盛', 0.1708199037430617), ('最深', 0.1708199037430617), ('设定', 0.16209112549695134), ('全景', 0.15851738177828215), ('页面', 0.15851738177828215), ('看里面系列', 0.15532055908705536), ('动手', 0.15532055908705536), ('科学知识', 0.15532055908705536)]"
27,看见,978-7-5495-2932-2,"[('柴静', 0.6429143715448816), ('新闻', 0.20790299685643313), ('记者', 0.15976032150122754), ('报道', 0.1529345870507588), ('节目', 0.12349659252955418), ('地震', 0.11785450844389068), ('华南虎', 0.11345547733144971), ('记录', 0.11017026376601861), ('经受', 0.10829352013742279), ('主持人', 0.10471931399506325), ('重大事件', 0.10428959507462568), ('事件', 0.10103768794838143), ('剖腹产', 0.1006090394784242), ('评论部', 0.1006090394784242), ('选择', 0.10040431613188851), ('备忘录', 0.09454623110954143), ('白岩松', 0.090244600114519), ('现场', 0.08233106168636946), ('药家', 0.08048723158273936), ('征地', 0.08048723158273936)]"
28,哈利·波特与阿兹卡班囚徒 : 纪念版,978-7-02-010331-7,"[('囚犯', 0.22596438596301038), ('罪名', 0.22596438596301038), ('守卫', 0.21568353822299294), ('梦话', 0.21568353822299294), ('杀掉', 0.21568353822299294), ('追随者', 0.21568353822299294), ('咒语', 0.21568353822299294), ('背叛者', 0.21568353822299294), ('要塞', 0.21568353822299294), ('被害', 0.21568353822299294), ('囚徒', 0.20770909318484168), ('关押', 0.20119349716891072), ('想来', 0.19091264942889327), ('逃出', 0.19091264942889327), ('监狱', 0.1867034561148285), ('杀害', 0.18293820439074204), ('忠实', 0.17642260837481105), ('法学', 0.17642260837481105), ('纪念版', 0.15642370938315314), ('罗琳', 0.15476123110103587)]"
29,半小时漫画中国史 . 3,978-7-5443-8205-2,"[('漫画', 0.5754990103223899), ('中国史', 0.2899101347187317), ('历史', 0.2806954414091692), ('混子', 0.26818181037185945), ('二混子', 0.18892309423891446), ('陈磊', 0.16530770745905016), ('知识', 0.163452744447286), ('公众', 0.14495506735936586), ('好笑', 0.1344519416643042), ('世界史', 0.10536425158843896), ('关注', 0.09271767694142956), ('内容', 0.08451533100780984), ('枯燥', 0.08283146706249478), ('解读', 0.0823227006251009), ('手绘', 0.07602830634878677), ('腹肌', 0.07314049373777985), ('网综', 0.07314049373777985), ('读史', 0.07314049373777985), ('大唐', 0.07084616033959291), ('新潮流', 0.07084616033959291)]"
30,狼图腾,978-7-5354-7689-0,"[('狼图腾', 0.7942358087641156), ('姜戎', 0.1985589521910289), ('图书', 0.18563421736423605), ('电影', 0.11494677210669477), ('畅销书', 0.11021054125288822), ('衍生品', 0.10564580536603614), ('狼性', 0.10564580536603614), ('文学类', 0.10564580536603614), ('公映', 0.10564580536603614), ('外景', 0.10564580536603614), ('中国小说', 0.09927947609551445), ('国文', 0.09927947609551445), ('商报', 0.09927947609551445), ('盗版', 0.09927947609551445), ('文化', 0.09665145080975598), ('再版', 0.09125884976865825), ('位居', 0.09125884976865825), ('正版', 0.08597579826586879), ('演变', 0.08597579826586879), ('篇幅', 0.08387918182119991)]"
31,想变成人的猴子,978-7-5332-5141-3,"[('老鼠', 0.8123779133459232), ('猴子', 0.32749453455663935), ('妈妈', 0.1557569913799308), ('公园', 0.14698875665836156), ('朋友', 0.10760411202771049), ('改不了', 0.10339746559250829), ('马小跳', 0.08968471522546148), ('动物', 0.08839516802967812), ('老弟', 0.08414607292909641), ('样子', 0.07317783482167697), ('笑猫日记', 0.07243415473271954), ('脚背', 0.06893164372833886), ('吃屎', 0.06893164372833886), ('开心', 0.06801330204288861), ('虐待', 0.06477774912161575), ('赶出', 0.06477774912161575), ('人类', 0.06360224771068729), ('发誓', 0.06183051399506179), ('新生', 0.05609738195273094), ('暴雨', 0.05352272478161555)]"
