,title,ISBN,weight
274,我喜欢玩,978-7-5394-3592-3,"[('孩子们', 0.3332949840115393), ('儿童心理', 0.31766187110194943), ('图画书', 0.2744023472742955), ('自信心', 0.22388942014252403), ('慷慨', 0.20580176045572166), ('拥有', 0.1944224307124835), ('创造力', 0.19388772359673723), ('宽容', 0.17480257041715383), ('乐观', 0.16044558723321575), ('健康', 0.16044558723321575), ('怒能', 0.15883093555097472), ('富有', 0.1423579275464134), ('时时刻刻', 0.13720117363714776), ('研究者', 0.13720117363714776), ('包容', 0.13720117363714776), ('表达', 0.13129715311587534), ('爱心', 0.1261063690673946), ('和谐', 0.1261063690673946), ('学会', 0.12571572069178366), ('心声', 0.1233260080639339)]"
275,同桌冤家,978-7-5397-7256-1,"[('马小跳', 0.5589890787605614), ('冤家', 0.42963882896085864), ('同桌', 0.34964512938246944), ('淘气包马小跳', 0.2138561021298324), ('漫画', 0.15784877707276246), ('中队长', 0.1432129429869529), ('拉选票', 0.1432129429869529), ('竞选', 0.1432129429869529), ('升级版', 0.1429426252034778), ('大队长', 0.13458277780721442), ('派来', 0.13458277780721442), ('本子', 0.12845957816596182), ('班主任', 0.11982941298622332), ('生病', 0.11982941298622332), ('典型', 0.10032652553523232), ('杨红樱', 0.09032268334424112), ('见到', 0.08354452106418662), ('战争', 0.08354452106418662), ('发生', 0.08010357428363944), ('记录', 0.07841148163910246)]"
276,盗墓笔记 . 肆 :蛇沼鬼城,978-7-80740-730-0,"[('录像带', 0.35917851040463084), ('帛书', 0.2394523402697539), ('战国', 0.22855782235352273), ('三叔', 0.22855782235352273), ('考古队', 0.20736517668078908), ('含义', 0.18695338325906863), ('鬼城', 0.17958925520231542), ('队伍', 0.1737630113714205), ('诡异', 0.16399902494474294), ('事情', 0.1588636406574357), ('线索', 0.15486621967010383), ('真相', 0.13215857227696642), ('鬼图', 0.12740365042943266), ('探险队', 0.12740365042943266), ('前人', 0.12740365042943266), ('混入', 0.12740365042943266), ('牵涉到', 0.12740365042943266), ('端倪', 0.12740365042943266), ('天数', 0.12740365042943266), ('古尸', 0.12740365042943266)]"
277,查理九世 . [3] :恶灵栖息的乌鸦城 = The city full of the crow,978-7-5342-6211-1,"[('乌鸦', 0.6176768455860887), ('查理九世', 0.2925737151810851), ('冒险', 0.14834812149769788), ('姑姑家', 0.1430107172582535), ('镇长', 0.1430107172582535), ('栖息', 0.1430107172582535), ('鸦神', 0.1430107172582535), ('恶灵', 0.13439273841730445), ('独角', 0.13439273841730445), ('姑姑', 0.13439273841730445), ('飞过来', 0.13439273841730445), ('骇人', 0.13439273841730445), ('蝙蝠', 0.13439273841730445), ('血红色', 0.13439273841730445), ('面色', 0.12827818512102318), ('怪事', 0.12353536911721774), ('接二连三', 0.12353536911721774), ('突兀', 0.12353536911721774), ('山顶', 0.1196602062800741), ('镇上', 0.11638380278565841)]"
278,城南旧事 = The old story in the South Beijing,7-5353-3667-1,"[('书系', 0.5135992485956965), ('儿童文学', 0.4896735279007391), ('工程', 0.27486648696833454), ('展示', 0.13452593858560236), ('与时俱进', 0.12042839611749023), ('国民素质', 0.12042839611749023), ('继往开来', 0.12042839611749023), ('世纪', 0.11851366469463966), ('文化', 0.1101754978640108), ('培育', 0.10802222649572621), ('中华民族', 0.10802222649572621), ('闪光', 0.10402833194454222), ('健全', 0.10402833194454222), ('重塑', 0.10402833194454222), ('集大成', 0.10402833194454222), ('精品', 0.10402833194454222), ('宝库', 0.10402833194454222), ('现实意义', 0.10402833194454222), ('现当代', 0.10402833194454222), ('城南旧事', 0.10076508248940826)]"
279,单恋,978-7-5442-4888-4,"[('命案', 0.34493660628467493), ('刻写', 0.20612379422921637), ('风姿', 0.20612379422921637), ('草蛇灰线', 0.20612379422921637), ('神伤', 0.20612379422921637), ('爆出', 0.20612379422921637), ('旋涡', 0.19370255384010837), ('毕现', 0.19370255384010837), ('纤毫', 0.19370255384010837), ('越深', 0.19370255384010837), ('缱绻', 0.1848895435314455), ('举止', 0.1848895435314455), ('悲凉', 0.17805364165795143), ('切入', 0.17805364165795143), ('惨烈', 0.16774596671439504), ('自称', 0.16004706275322944), ('忽视', 0.15123405244456656), ('超出', 0.14878198025999065), ('男子', 0.14878198025999065), ('世人', 0.1465117160166241)]"
280,无声的证词 = Silent evidence,978-7-5594-3449-4,"[('证词', 0.40852963021175404), ('法医秦明', 0.370695603517836), ('无声', 0.33246621530330606), ('尸体', 0.22178605783029348), ('法医', 0.21974509864852032), ('万象', 0.19195559878781662), ('解剖刀', 0.13087290773033225), ('现场', 0.11939667775963697), ('热血', 0.11100362568620893), ('检验', 0.092673900879459), ('专业', 0.09201954709827206), ('迟迟', 0.08754206361680443), ('悬案', 0.08754206361680443), ('层层', 0.0829659219247092), ('划开', 0.08226668519477855), ('回归', 0.08176906265293261), ('刺激', 0.07959778517309132), ('遇害', 0.07852374463819935), ('盯上', 0.07852374463819935), ('手指', 0.07593208402867468)]"
281,你是我的小确幸 . 上,978-7-5500-2114-3,"[('丛容', 0.6639225296044611), ('喜欢', 0.39870857194520176), ('律师', 0.197674478353403), ('病人', 0.1894175908826671), ('气急', 0.16598063240111527), ('接受', 0.12841296552396747), ('从容', 0.11468416215284533), ('愤怒', 0.11177864455920439), ('医生', 0.10917957050568808), ('卡片', 0.10523199493481505), ('阶段', 0.09203741115040266), ('生花', 0.08299031620055763), ('绰约', 0.08299031620055763), ('坐诊', 0.08299031620055763), ('胡扯', 0.08299031620055763), ('手术台上', 0.08299031620055763), ('堵得', 0.08299031620055763), ('温和', 0.0786521108817075), ('深吸', 0.07798923094812492), ('拒绝接受', 0.07798923094812492)]"
282,巧克力味的暑假,978-7-5332-6126-9,"[('巧克力味的暑假', 0.40810169811605035), ('毕业', 0.3579242347205562), ('老师', 0.28001789373590674), ('过关', 0.2720677987440336), ('班主任', 0.22764509922068707), ('大总统', 0.20405084905802517), ('冬瓜', 0.20405084905802517), ('滋味', 0.19638094676784468), ('小学', 0.16993924456625437), ('年轻', 0.14708062034107433), ('道坎', 0.1360338993720168), ('心仪', 0.1360338993720168), ('毕业考', 0.1360338993720168), ('苦涩', 0.1278363510419655), ('毕业生', 0.12202009794039484), ('甜美', 0.11750866154338296), ('尝到了', 0.11750866154338296), ('女老师', 0.11382254961034353), ('朋友', 0.10617625052784692), ('亲密', 0.10562500128029222)]"
283,"从0到1 : 开启商业与未来的秘密 = Zero to one : notes on startups, or how to build the future",978-7-5086-4971-9,"[('科技', 0.3226939207392276), ('创业', 0.2729629515308653), ('全球化', 0.2563839821198423), ('创新', 0.2394482363288795), ('公司', 0.18979887295675854), ('商业', 0.17498442311268814), ('世界', 0.14402290250055497), ('初创', 0.1398458084290049), ('创造', 0.1391858401682896), ('创始人', 0.1385281765850868), ('创业者', 0.13784497926850328), ('竞争', 0.12907756829569103), ('回答', 0.12863953330667552), ('硅谷', 0.10092179074229528), ('垂直', 0.09920897812644104), ('世纪', 0.09763162134040305), ('价值', 0.09668027140370963), ('垄断', 0.08898876885422147), ('企业家', 0.08814652915202077), ('发展', 0.0880993421848035)]"
284,你一定爱读的极简欧洲史 = The shortest history of Europe,978-7-5495-0107-6,"[('欧洲', 0.26843744965236294), ('战士', 0.24110599297324803), ('首领', 0.23262349402287977), ('欧洲史', 0.23262349402287977), ('犹太人', 0.2067764391314487), ('基督教', 0.2067764391314487), ('蛮族', 0.17289327201891705), ('教义', 0.17289327201891705), ('形塑', 0.14407772668243088), ('爱读', 0.14407772668243088), ('极简', 0.12908847645776989), ('元素', 0.1194604440079254), ('文化', 0.11863025832859743), ('好斗', 0.11526218134594471), ('教皇', 0.11526218134594471), ('十字军东', 0.11526218134594471), ('果实', 0.10831635896951958), ('强化', 0.10338821956572435), ('城邦', 0.10338821956572435), ('侠义', 0.10338821956572435)]"
285,小家，越住越大 . 2,978-7-5086-8627-1,"[('小家', 0.5517291238973097), ('功能', 0.29778242798660426), ('逯薇', 0.24521294395435986), ('居住', 0.24162412543537892), ('专业', 0.14399877174754358), ('干货', 0.13272115390015865), ('难题', 0.12176586883989045), ('痛点', 0.1127012958455388), ('创始人', 0.10930614275962765), ('收纳', 0.10916598546050921), ('有趣', 0.1067191042868936), ('秩序', 0.10617692312012693), ('儿童房', 0.09785148943566045), ('避坑', 0.09195485398288494), ('磨砺', 0.09195485398288494), ('住商', 0.09195485398288494), ('输出', 0.09195485398288494), ('作者', 0.08841918477715083), ('潜心研究', 0.0845259718841541), ('瑞典', 0.0845259718841541)]"
286,福尔摩斯探案故事集 . Ⅰ,978-7-5353-5809-7,"[('福尔摩斯', 0.4578026196333357), ('罪犯', 0.19620112270000098), ('情节', 0.18802959786095272), ('探案', 0.17800869843222764), ('故事集', 0.17366775630717762), ('读者', 0.16898942458789185), ('惊险', 0.15788449150221842), ('场景', 0.13535112510939504), ('柯南道尔', 0.13080074846666734), ('跌宕起伏', 0.12596466599050693), ('消逝', 0.11867246562148509), ('全世界', 0.11824848252632869), ('淹没', 0.1036502213596028), ('著作', 0.09944237177780198), ('激发', 0.09944237177780198), ('严谨', 0.09820360506503568), ('英国', 0.09646247723065808), ('悬念', 0.09289118435278548), ('涉及', 0.09023408340626336), ('插图', 0.09023408340626336)]"
287,偶遇,978-7-5302-1785-6,"[('鲁豫', 0.5098997472651955), ('态度', 0.2165881379960767), ('陈鲁豫', 0.19121240522444832), ('人生', 0.18424410998663296), ('时代', 0.18043774500959484), ('拼尽', 0.1796897410916931), ('回应', 0.17860281671283945), ('展示', 0.16019702855380136), ('层面', 0.15181615634165743), ('忧伤', 0.14547477666738481), ('偶遇', 0.13764408425731686), ('爱情', 0.13587608214437977), ('倾听', 0.12372412709795204), ('困惑', 0.12306809070403273), ('尽力', 0.11011526740585349), ('生活', 0.106374633989958), ('经验', 0.09702858658836466), ('一隅', 0.09560620261222416), ('当代人', 0.09560620261222416), ('慰藉', 0.08984487054584656)]"
288,财务自由之路 : 7年内赚到你的第一个1000万 = Der Weg zur finanziellen Freiheit : Ihre erste Million in 7 Jahren,978-7-5143-4092-1,"[('金钱', 0.5288716405163223), ('财务自由', 0.3989773650370709), ('财富', 0.25405873297501624), ('理财', 0.22291705489651456), ('投资理财', 0.19614054779201995), ('策略', 0.17629054683877407), ('致富', 0.14469309557893476), ('指导', 0.13888404373200774), ('财务', 0.13299245501235696), ('生活', 0.12198793985991319), ('教练', 0.11212339130406772), ('通往', 0.10194987494126743), ('赚钱', 0.10194987494126743), ('梦想', 0.08687774633374268), ('富裕', 0.08681585734736086), ('储蓄', 0.08409254347805079), ('积累', 0.08216844132679087), ('知识', 0.08083922587308832), ('极简', 0.07503877019103386), ('提供', 0.07155719679074148)]"
289,稻草人手记,978-7-5302-1483-1,"[('三毛', 0.31725923832441977), ('稻草人', 0.3122827484950522), ('撒哈拉', 0.30338468619338427), ('稻草人手记', 0.2980746184154859), ('注脚', 0.18736964909703135), ('生活', 0.16133973408271235), ('流光', 0.13292319324867868), ('寻到', 0.13292319324867868), ('筑起', 0.13292319324867868), ('情味', 0.13292319324867868), ('时局动荡', 0.13292319324867868), ('恼人', 0.13292319324867868), ('草人', 0.13292319324867868), ('卖花女', 0.13292319324867868), ('儿媳', 0.1249130993980209), ('每一件', 0.11922984736619434), ('定居', 0.11922984736619434), ('婆婆', 0.11922984736619434), ('妙笔', 0.11482157461361243), ('加纳', 0.11482157461361243)]"
290,麦田里的守望者 = The catcher in the rye,978-7-5447-5026-4,"[('塞林格', 0.6548869469877583), ('守望者', 0.16372173674693957), ('看不惯', 0.15049492569117037), ('女友', 0.12204855086245593), ('伪君子', 0.11614696487664791), ('语感', 0.11614696487664791), ('酗酒', 0.11614696487664791), ('中学生', 0.11614696487664791), ('客店', 0.11614696487664791), ('开除', 0.11614696487664791), ('滥交', 0.11614696487664791), ('舒畅', 0.11614696487664791), ('假模假式', 0.11614696487664791), ('夜总会', 0.1091478244979597), ('中产阶级', 0.1091478244979597), ('只身', 0.1091478244979597), ('渗入', 0.1091478244979597), ('贸然', 0.1091478244979597), ('响应', 0.10418185536952652), ('世界', 0.10116719261141086)]"
291,奔跑的放牛班,978-7-5342-9430-3,"[('林果', 0.328117362161346), ('结巴', 0.29165987747675204), ('淘气包马小跳', 0.22772618014498647), ('合唱团', 0.22582890173472517), ('杨红樱', 0.2198417074827991), ('唱歌', 0.19889708798699285), ('马小跳', 0.1700695619706613), ('淘气包马小跳系列', 0.16574757332249404), ('孩子', 0.14622661130599593), ('儿童', 0.1413192610707617), ('老师', 0.1395178269462456), ('洗澡', 0.13259805865799523), ('现实', 0.1206092518810295), ('天性', 0.11737266216066783), ('映射', 0.11291445086736258), ('儿童文学', 0.11274274861521845), ('调皮', 0.1063777384186118), ('心理', 0.10615303925341588), ('好玩', 0.10414078208028706), ('原创', 0.10329142961387769)]"
292,梦里花落知多少,978-7-5302-1480-0,"[('三毛', 0.3881246904435047), ('墓园', 0.2276595093237618), ('知多少', 0.2276595093237618), ('花落', 0.20420671430419943), ('哀恸', 0.17074463199282136), ('离世', 0.15315503572814956), ('看得见', 0.15315503572814956), ('坚强', 0.12748422278042304), ('巨兽', 0.1138297546618809), ('很疏', 0.1138297546618809), ('很淡', 0.1138297546618809), ('流丽', 0.1138297546618809), ('掩藏', 0.1138297546618809), ('十彩', 0.1138297546618809), ('霓虹灯', 0.1138297546618809), ('有多深', 0.1138297546618809), ('深情', 0.10565539134896365), ('带来', 0.10458094107344762), ('铁门', 0.10210335715209971), ('兀自', 0.10210335715209971)]"
293,苏东坡传 = The gay genius,978-7-5404-8488-0,"[('苏东坡', 0.5501742242781119), ('诗人', 0.2571576394019072), ('生活', 0.1462383393826643), ('如故', 0.13143445744794824), ('文人', 0.13143445744794824), ('慈悲', 0.12351407640956374), ('林语堂', 0.12351407640956374), ('心灵', 0.1142612228697391), ('友情', 0.11279175959218395), ('控制', 0.10385962034527632), ('灵魂', 0.10223125154100463), ('人格', 0.09487055546705749), ('成性', 0.08762297163196549), ('饮酒', 0.08762297163196549), ('假道学', 0.08762297163196549), ('幕落', 0.08762297163196549), ('秉性', 0.08762297163196549), ('下断语', 0.08762297163196549), ('漫步者', 0.08762297163196549), ('生而俱来', 0.08762297163196549)]"
294,吹号手的诺言! = The trumpeter of Krakow,978-7-5414-5416-5,"[('吹号手', 0.38353158924594033), ('鞑靼', 0.2983023471912869), ('教堂', 0.25454114849031034), ('大军', 0.24027971020392408), ('难民', 0.19112295741912919), ('誓言', 0.1704584841093068), ('诺言', 0.16018647346928272), ('流言', 0.12784386308198012), ('水晶球', 0.12784386308198012), ('吹响', 0.12013985510196204), ('炼金术士', 0.1146737744514775), ('圣母', 0.1146737744514775), ('保护', 0.0986821535851028), ('使者', 0.0852292420546534), ('催眠术', 0.0852292420546534), ('大盗', 0.0852292420546534), ('基辅', 0.0852292420546534), ('战利品', 0.0852292420546534), ('沦陷', 0.08009323673464136), ('卷进', 0.08009323673464136)]"
295,在细雨中呼喊,978-7-5302-1796-2,"[('在细雨中呼喊', 0.4293082279059884), ('余华', 0.37872906002696516), ('黑夜', 0.2222273630888702), ('更让人', 0.1283607303217095), ('呼喊', 0.1283607303217095), ('战栗', 0.1283607303217095), ('声音', 0.11677986603919263), ('回答', 0.09896238761268765), ('人性', 0.09841173657475355), ('颠仆', 0.09540182842355298), ('掂量', 0.09540182842355298), ('至好', 0.09540182842355298), ('爱恨交织', 0.09540182842355298), ('少年时期', 0.09540182842355298), ('性幻想', 0.09540182842355298), ('真实性', 0.09540182842355298), ('父子', 0.09540182842355298), ('偷情', 0.09540182842355298), ('拼接', 0.09540182842355298), ('牧歌', 0.09540182842355298)]"
296,哈利·波特与凤凰社,978-7-02-014457-0,"[('面对', 0.30178279702546956), ('魔法', 0.251753445589707), ('日益增长', 0.19116485066472533), ('校领导', 0.19116485066472533), ('魔头', 0.19116485066472533), ('校方', 0.19116485066472533), ('入手书', 0.19116485066472533), ('惊惧', 0.1824672998778994), ('家养', 0.1824672998778994), ('新任', 0.1824672998778994), ('难以承受', 0.1824672998778994), ('信赖', 0.17572095536721272), ('无能为力', 0.17572095536721272), ('了前', 0.17572095536721272), ('正因如此', 0.17572095536721272), ('时常', 0.15795028121211016), ('寂静', 0.1547648952474922), ('恶毒', 0.15188336313711512), ('考试', 0.14683278291457402), ('牺牲', 0.14683278291457402)]"
297,肖申克的救赎 = Different seasons . YW,978-7-5321-5458-6,"[('肖申克的救赎', 0.33090374015557966), ('飓风', 0.2661492476700917), ('图书馆', 0.16655983529135826), ('奥斯卡奖', 0.12408890255834236), ('纳粹高徒', 0.12408890255834236), ('尸体', 0.12164954613486256), ('电影', 0.11972614552629976), ('代表作', 0.11972614552629976), ('影片', 0.11844314954292243), ('津津乐道', 0.11048590758745461), ('提名', 0.10046096831629442), ('美国', 0.0994199723393853), ('地狱', 0.09688291261656687), ('善意', 0.09385770962756361), ('惊悚', 0.09385770962756361), ('被誉为', 0.09004740301147902), ('含意', 0.08803076300920677), ('假释', 0.08803076300920677), ('星坛', 0.08803076300920677), ('站长', 0.08803076300920677)]"
298,皮皮鲁送你100条命,978-7-5342-9120-3,"[('条命', 0.7419904474678986), ('皮皮鲁', 0.43552166372773715), ('逃生', 0.2563781668023383), ('方法', 0.1522397940518028), ('电脑游戏', 0.14839808949357972), ('平安', 0.13945546183733581), ('法术', 0.13311056654087897), ('儿童成长书单', 0.1178230435881782), ('含义', 0.10888041593193429), ('疑问', 0.10888041593193429), ('郑渊洁', 0.107115055320113), ('怎么回事', 0.09993778827569037), ('送给', 0.09653795903000274), ('神奇', 0.09182753236741224), ('看过', 0.09182753236741224), ('代表', 0.0823265145430669), ('拥有', 0.07266069968635495), ('童话', 0.07266069968635495), ('中国文学', 0.06596291312460122), ('儿童文学', 0.05485463739809569)]"
299,教父 = The god father,978-7-5399-6744-8,"[('教父', 0.5583887257016352), ('家族', 0.25599435950440014), ('黑手党', 0.2226492644181706), ('法官', 0.18554105368180884), ('正义', 0.12589759044558532), ('畜生', 0.1166310714620975), ('报复', 0.1113246322090853), ('手帕', 0.1072086381547504), ('父母', 0.09180306959075483), ('流泪', 0.08358117475342541), ('谨记', 0.08274005168643114), ('说一不二', 0.08274005168643114), ('以眼还眼', 0.08274005168643114), ('空头支票', 0.08274005168643114), ('腊肠', 0.08274005168643114), ('清理门户', 0.08274005168643114), ('继承者', 0.08274005168643114), ('过道', 0.08274005168643114), ('重创', 0.07775404764139834), ('守护神', 0.07775404764139834)]"
300,哈利·波特与魔法石,978-7-02-014453-2,"[('魔法', 0.3312783935388354), ('猫头鹰', 0.3201411276832239), ('法学', 0.2618657560018956), ('窄小', 0.16770054389513334), ('生日派对', 0.16770054389513334), ('录取', 0.16770054389513334), ('特快', 0.16770054389513334), ('入学', 0.16770054389513334), ('储物', 0.16770054389513334), ('附着', 0.16007056384161195), ('飞天', 0.16007056384161195), ('打球', 0.16007056384161195), ('不仅如此', 0.15415229152422683), ('信使', 0.15415229152422683), ('魔法石', 0.15415229152422683), ('扫帚', 0.15415229152422683), ('住在一起', 0.14522828582549185), ('送来', 0.14522828582549185), ('列车', 0.14522828582549185), ('友善', 0.14168673089451916)]"
301,神奇校车 : 桥梁书版 . 7 :像螃蟹一样爬,978-7-221-11660-4,"[('校车', 0.551484509265002), ('桥梁书', 0.409881046947025), ('神奇', 0.3804465936902625), ('自主阅读', 0.19259058824622224), ('科学知识', 0.1559191562253002), ('获取', 0.1559191562253002), ('阅读', 0.11462978208110736), ('核对', 0.10247026173675625), ('研究课题', 0.10247026173675625), ('迷们', 0.10247026173675625), ('神校', 0.10247026173675625), ('文图', 0.10247026173675625), ('螃蟹', 0.10247026173675625), ('知识', 0.09890651770038701), ('准确性', 0.09629529412311112), ('卷毛', 0.09629529412311112), ('亲子读物', 0.09629529412311112), ('查阅', 0.09191408487750034), ('气象', 0.09191408487750034), ('对白', 0.09191408487750034)]"
302,查理九世 . [1] :黑贝街的亡灵 = The souls in the B.B street,978-7-5342-6213-5,"[('查理九世', 0.49676232674090626), ('黑贝街的亡灵', 0.4370734599252196), ('亡灵', 0.2438059719200478), ('日记', 0.2313476563646865), ('幽灵', 0.21032232961403718), ('冒险', 0.15112859599959722), ('事件', 0.14631187576312538), ('对劲儿', 0.14569115330840654), ('重重难关', 0.14569115330840654), ('不掉', 0.13691164852305557), ('贪玩', 0.13691164852305557), ('来到', 0.13217699550142573), ('惊叫', 0.1306824907453749), ('白骨', 0.1219029859600239), ('迷宫', 0.1219029859600239), ('险恶', 0.11856517315160961), ('死神', 0.11567382818234324), ('降临', 0.1108421180366192), ('包围', 0.1108421180366192), ('怪物', 0.1108421180366192)]"
303,无所畏,978-7-5596-2309-6,"[('冯唐', 0.5975281884523824), ('油腻', 0.34052051162331726), ('坦露', 0.16724146253469693), ('体重', 0.13993460272872077), ('作品', 0.13319635681344244), ('人到中年', 0.1309694275474297), ('私人', 0.1298564532509395), ('真诚', 0.12983117027837035), ('全新', 0.12880066465427187), ('对抗', 0.1248686276051915), ('爱情', 0.11884226169655021), ('收录', 0.11836236072682295), ('精致', 0.11262774292274462), ('杂文', 0.10059697406007656), ('篇目', 0.10059697406007656), ('体现', 0.08969993106416385), ('工艺', 0.08657096883395966), ('父亲', 0.08625894821570212), ('生活', 0.0845810916361033), ('扑倒', 0.08362073126734847)]"
304,巨蟒丛林中的黄金密码,978-7-5448-3449-0,"[('卫星电话', 0.26738597476546005), ('大卫', 0.22372771432965524), ('黄金', 0.20342777926639888), ('飞机', 0.1350520904203878), ('美洲豹', 0.13369298738273003), ('要强', 0.13369298738273003), ('生存能力', 0.13369298738273003), ('木筏', 0.13369298738273003), ('学期结束', 0.13369298738273003), ('劫匪', 0.13369298738273003), ('渡过', 0.13369298738273003), ('发送', 0.13369298738273003), ('巨蟒', 0.13369298738273003), ('火种', 0.12563650491388803), ('树皮', 0.12563650491388803), ('印第安人', 0.12563650491388803), ('原住民', 0.12563650491388803), ('电子邮件', 0.1199203396336696), ('鲨鱼', 0.1199203396336696), ('解救', 0.1199203396336696)]"
305,朗读者Ⅱ . 1,978-7-02-014764-9,"[('朗读者', 0.48397047998356246), ('董卿', 0.3711611256497385), ('电子书站', 0.2928710978613304), ('朗读', 0.25362569805872404), ('全书', 0.1634944403865685), ('定格', 0.15582577698248634), ('总台', 0.15582577698248634), ('电子书', 0.15582577698248634), ('类节目', 0.15582577698248634), ('微信读书', 0.15582577698248634), ('嵌入', 0.13977307609953293), ('版块', 0.13977307609953293), ('共分', 0.13460526068648704), ('古今中外', 0.13460526068648704), ('录制', 0.13460526068648704), ('三辑', 0.13460526068648704), ('共收录', 0.13038284804771177), ('手记', 0.12681284902936202), ('访谈', 0.12681284902936202), ('心声', 0.12099261999589062)]"
306,好妈妈胜过好老师 : 一个教育专家16年的教子手记,978-7-5063-4504-0,"[('家庭教育', 0.35949593108567157), ('教育', 0.3445233871471994), ('家教', 0.26718895296437967), ('教子', 0.26718895296437967), ('好妈妈胜过好老师', 0.26718895296437967), ('手记', 0.2174415107097036), ('孩子', 0.19926308982189211), ('实用', 0.1777897517059681), ('专家', 0.1583497038418685), ('父母', 0.1482278868753259), ('手抄本', 0.13359447648218983), ('实事求是', 0.13359447648218983), ('未上市', 0.13359447648218983), ('难得一见', 0.13359447648218983), ('自强', 0.12554393038561934), ('幼儿教育', 0.12554393038561934), ('自立', 0.12554393038561934), ('亲子', 0.1198319770285572), ('图书', 0.11737193918883672), ('告诉', 0.11515291615969829)]"
307,明朝那些事儿 . 第贰部 :万国来朝,978-7-213-04632-2,"[('明朝那些事儿', 0.717782048548503), ('当年明月', 0.478521365699002), ('通俗读物', 0.2703047220234101), ('再版', 0.26031077363454486), ('明朝', 0.22926673446063578), ('中国历史', 0.19395403050888313), ('历史', 0.1198811390651061), ('作者', 0.10211269631283035), ('疲倦', 0.0), ('疾病', 0.0), ('病骨支离', 0.0), ('疼痛', 0.0), ('疼爱', 0.0), ('疵的', 0.0), ('疲惫不堪', 0.0), ('疲惫', 0.0), ('疲劳', 0.0), ('疯魔', 0.0), ('疾行', 0.0), ('疯羊血顶儿', 0.0)]"
308,盗墓笔记 . 柒 :邛笼石影,978-7-80740-733-1,"[('油瓶', 0.3064821888153714), ('盗墓笔记', 0.26993185729107083), ('答案', 0.20094218288497043), ('石影', 0.17739954946739586), ('天灯', 0.17739954946739586), ('折损', 0.17739954946739586), ('铁衣', 0.17739954946739586), ('约见', 0.17739954946739586), ('石壁', 0.17739954946739586), ('拍卖会', 0.16670926280207476), ('录像带', 0.16670926280207476), ('拍卖', 0.16670926280207476), ('嗜血', 0.16670926280207476), ('无邪', 0.16670926280207476), ('浮雕', 0.15912438370524554), ('逃走', 0.15912438370524554), ('墓穴', 0.15912438370524554), ('谜题', 0.1532410944076857), ('样式', 0.1532410944076857), ('古楼', 0.1532410944076857)]"
309,人民的名义 = In the name of people,978-7-5302-1619-4,"[('反腐', 0.437680718727264), ('人民的名义', 0.39789156247933094), ('周梅森', 0.3779969843553644), ('长篇小说', 0.1438527089922502), ('生态', 0.13902625482059777), ('政治', 0.10365666700479664), ('作品', 0.10140587048369752), ('检察院', 0.09947289061983274), ('政治小说', 0.09947289061983274), ('雷暴', 0.09947289061983274), ('书记', 0.09947289061983274), ('编剧', 0.09477371656742008), ('勇气', 0.09059465536809584), ('官场', 0.08323115105667009), ('航班', 0.0795783124958662), ('腐败分子', 0.0795783124958662), ('中心', 0.07455942069495677), ('对得起', 0.0713803951037398), ('最终', 0.07104674070248267), ('征服', 0.06658492084533607)]"
310,分身,978-7-5442-8264-2,"[('分身', 0.4355092876420994), ('母亲', 0.35143312804027493), ('东野圭吾', 0.22660163403869055), ('照片', 0.22660163403869055), ('一模一样', 0.19115865711756444), ('双叶', 0.17655519678740722), ('断言', 0.16591579171802484), ('超强', 0.14017883058866504), ('蜂子', 0.13241639759055543), ('女孩', 0.11446533643686004), ('相册', 0.1143837949150448), ('坚信', 0.10513412294149878), ('父亲', 0.09106273854630073), ('情节', 0.09106273854630073), ('细谷', 0.08827759839370361), ('着火', 0.08827759839370361), ('绝妙', 0.08295789585901242), ('口音', 0.08295789585901242), ('厌弃', 0.08295789585901242), ('警钟', 0.08295789585901242)]"
311,聪明的投资者,978-7-115-41358-1,"[('聪明的投资者', 0.4994481889686593), ('投资者', 0.41968283052329214), ('注疏', 0.3796253353040794), ('点评', 0.3465836485189353), ('证券', 0.2223485956980245), ('投资', 0.21060399628109822), ('格雷厄姆', 0.19675653750487201), ('防御型', 0.14269948256247406), ('价值投资', 0.11552788283964512), ('策略', 0.07491355550703165), ('着重', 0.07134974128123703), ('认股权证', 0.07134974128123703), ('世纪之交', 0.07134974128123703), ('股神', 0.06810349597901444), ('佐证', 0.06810349597901444), ('亮点', 0.065585512501624), ('全球股市', 0.065585512501624), ('论述', 0.06352817019943557), ('面向', 0.06178871206789861), ('动荡', 0.06178871206789861)]"
312,盗墓笔记 . 叁 :[云顶天宫],978-7-80740-729-4,"[('盗墓笔记', 0.2296893818924104), ('惊悚', 0.21459199200945558), ('谜团', 0.20860048579690635), ('恐怖', 0.20088962573795743), ('逼死', 0.15095214501199267), ('百足', 0.15095214501199267), ('时机', 0.15095214501199267), ('两地', 0.15095214501199267), ('顺子', 0.15095214501199267), ('奴王', 0.15095214501199267), ('门殿', 0.15095214501199267), ('和顺', 0.15095214501199267), ('殉葬', 0.15095214501199267), ('陵墓', 0.15095214501199267), ('串子', 0.15095214501199267), ('排道', 0.15095214501199267), ('龙神', 0.15095214501199267), ('火山口', 0.15095214501199267), ('墓室', 0.15095214501199267), ('夫子', 0.14185560723741447)]"
